tweet_id,sentiment,tasks,users,technologies,organizations,job_competencies,job_profiles,nouns,verbs,adjectives,subjects,objects,predicates,topic
1597847994526842880,neutral,ensure safety,,artificial intelligence,"GPT3, Artificial Intelligence AI, AI",logic,,"gpt3, post, need, audit, system, intelligence, ai, safety, cooperation, development, ai, system, logic, cooperatio","discusses, ensure, suggests, focus, creating",artificial,"this post, it, the development of ai","the need for an audit system for artificial intelligence, an audit system for artificial intelligence, artificial intelligence, safety and cooperation, ai, a system of logic, logic",discusses,"gpt4, ai, gpt3, deeplearning gpt, ai gpt, will, future, gpt ai, ai tech"
1597847639823118336,neutral,,,,Gpt,,,"box, fancy, statitistics",,"username, gpt, black",,,statitistics,"gpt, ask gpt, gpt gpt, lol, use gpt, using gpt"
1597846446765936640,neutral,,,api,"AI, GPT3 Heres",plan ,secretary,"today, ai, w, gpt3, plan, playground, connect, ship, web, app, chrome, extension, username","im, working, building, writing, heres, explore, gpt3s, seems, wan, build, check","own, assistant, openai, api, cool","i, assistant w gpt3, the plan, this, you","my own, openai playground connect, api ship, a web app chrome extension, it",working,"chatgpt, ai, will"
1597845565056126976,positive,,,,GPT3,,,"ars, upgrades, poetry, lyrics, username","technica, gpt3, stunning, rhyming",openai,,"rhyming poetry and lyrics, username",stunning,"chatgpt, ai, will"
1597845515991142400,negative,,guy,,GPT3,,,"type, guy, gpt3, stop, nobody, hes","talks, believes","username, cant, real","who, nobody, he","guy, gpt3",type,"chatgpt, ai, will"
1597845364413181952,neutral,,,basic,GPT3,,,"i, bc, art, otoh, tin, trick, range, themes","think, dont, know, are, talking, have, backgroundtraining, does, says, is, gpt3, defined, want, consumerproof","username, tested, basic","i, they, they, they, no art backgroundtraining this otoh, it, the trick, you, it","what, bc, this otoh, exactly what, the tin, basic themes",is,"chatgpt, ai, will"
1597845077652836352,neutral,understand a simple mysql database,,database,"GPT3, Mission Fill","database, MySQL",,"today, day, gpt3, mysql, database, i, mission, promptcompletion, file","is, prefinetuning, im, going, start, finetuning, understand, use, fill","simple, username, demo","i, i","gpt3, a simple mysql database that i use for username demo mission, that, username demo mission, a promptcompletion file",is,"prompt, prompts, gpt prompts, gpt4, gpt3, output, gpt3 prompt, effective gpt3, prompt engineering, prompt gpt, gpt4 prompts"
1597844482065838080,negative,"invent citations, it can construct language",academic,model,GPT3,"terminology, think innovately",,"username, program, citations, consequence, gpt3, model, language, language, nothing, whats, thats","dont, invent, thats, is, construct, appears, knows, appropriate, makes","unintended, academic, truthful, powerful, dangerous","username they dont program it to invent citations thats an unintended consequence gpt3, they, that, it, that, what, that, what, it","it, citations thats an unintended consequence gpt3, language, language that appears academic but knows nothing about whats appropriate or truthful thats what makes it both powerful and dangerous, nothing about whats appropriate or truthful thats what makes it both powerful and dangerous",is,"chatgpt, ai, will"
1597844221775732736,neutral,,,model,gpt3,business model,,"links, interest, output, gpt3, writing, writing, tools, jasper, copy, business, model, doesnt","says, get, train, allow","few, better, own, generic","he, you, you, their business model","interest, better output, gpt3, your own writing than generic writing tools like jasper copy, generic writing tools like jasper copy, jasper copy",links,"chatgpt, ai, will"
1597844051390517248,negative,,,,GPT3,use personal organization software,,"i, friend, gpt3, year, time, schools, time, payback, time, waste","helped, do, got, think, got, wasted, make","last, final, i","i, a friend, they, i, its about time schools, their time, they, us","this, gpt3, a final, an a, payback for all the time they make us waste, all the time they make us waste",helped,"chatgpt, ai, will"
